"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login","2","0","Login with valid credentials","0"
"0","Web interface","0","Авторизация","1","0","Login Feature","0"
